Codes,Description
S70.01XD,"Contusion of right hip, subsequent encounter"
S70.01XS,"Contusion of right hip, sequela"
S70.02XA,"Contusion of left hip, initial encounter"
S70.02XD,"Contusion of left hip, subsequent encounter"
S70.02XS,"Contusion of left hip, sequela"
S70.10XA,"Contusion of unspecified thigh, initial encounter"
S70.10XD,"Contusion of unspecified thigh, subsequent encounter"
S70.10XS,"Contusion of unspecified thigh, sequela"
S70.11XA,"Contusion of right thigh, initial encounter"
S70.11XD,"Contusion of right thigh, subsequent encounter"
S70.11XS,"Contusion of right thigh, sequela"
S70.12XA,"Contusion of left thigh, initial encounter"
S70.12XD,"Contusion of left thigh, subsequent encounter"
S70.12XS,"Contusion of left thigh, sequela"
S70.211A,"Abrasion, right hip, initial encounter"
S70.211D,"Abrasion, right hip, subsequent encounter"
S70.211S,"Abrasion, right hip, sequela"
S70.212A,"Abrasion, left hip, initial encounter"
S70.212D,"Abrasion, left hip, subsequent encounter"
S70.212S,"Abrasion, left hip, sequela"
S70.219A,"Abrasion, unspecified hip, initial encounter"
S70.219D,"Abrasion, unspecified hip, subsequent encounter"
S70.219S,"Abrasion, unspecified hip, sequela"
S70.221A,"Blister (nonthermal), right hip, initial encounter"
S70.221D,"Blister (nonthermal), right hip, subsequent encounter"
S70.221S,"Blister (nonthermal), right hip, sequela"
S70.222A,"Blister (nonthermal), left hip, initial encounter"
S70.222D,"Blister (nonthermal), left hip, subsequent encounter"
S70.222S,"Blister (nonthermal), left hip, sequela"
S70.229A,"Blister (nonthermal), unspecified hip, initial encounter"
S70.229D,"Blister (nonthermal), unspecified hip, subsequent encounter"
S70.229S,"Blister (nonthermal), unspecified hip, sequela"
S70.241A,"External constriction, right hip, initial encounter"
S70.241D,"External constriction, right hip, subsequent encounter"
S70.241S,"External constriction, right hip, sequela"
S70.242A,"External constriction, left hip, initial encounter"
S70.242D,"External constriction, left hip, subsequent encounter"
S70.242S,"External constriction, left hip, sequela"
S70.249A,"External constriction, unspecified hip, initial encounter"
S70.249D,"External constriction, unspecified hip, subsequent encounter"
S70.249S,"External constriction, unspecified hip, sequela"
S70.251A,"Superficial foreign body, right hip, initial encounter"
S70.251D,"Superficial foreign body, right hip, subsequent encounter"
S70.251S,"Superficial foreign body, right hip, sequela"
S70.252A,"Superficial foreign body, left hip, initial encounter"
S70.252D,"Superficial foreign body, left hip, subsequent encounter"
S70.252S,"Superficial foreign body, left hip, sequela"
S70.259A,"Superficial foreign body, unspecified hip, initial encounter"
S70.259D,"Superficial foreign body, unspecified hip, subsequent encounter"
S70.259S,"Superficial foreign body, unspecified hip, sequela"
S70.261A,"Insect bite (nonvenomous), right hip, initial encounter"
S70.261D,"Insect bite (nonvenomous), right hip, subsequent encounter"
S70.261S,"Insect bite (nonvenomous), right hip, sequela"
S70.262A,"Insect bite (nonvenomous), left hip, initial encounter"
S70.262D,"Insect bite (nonvenomous), left hip, subsequent encounter"
S70.262S,"Insect bite (nonvenomous), left hip, sequela"
S70.269A,"Insect bite (nonvenomous), unspecified hip, initial encounter"
S70.269D,"Insect bite (nonvenomous), unspecified hip, subsequent encounter"
S70.269S,"Insect bite (nonvenomous), unspecified hip, sequela"
S70.271A,"Other superficial bite of hip, right hip, initial encounter"
S70.271D,"Other superficial bite of hip, right hip, subsequent encounter"
S70.271S,"Other superficial bite of hip, right hip, sequela"
S70.272A,"Other superficial bite of hip, left hip, initial encounter"
S70.272D,"Other superficial bite of hip, left hip, subsequent encounter"
S70.272S,"Other superficial bite of hip, left hip, sequela"
S70.279A,"Other superficial bite of hip, unspecified hip, initial encounter"
S70.279D,"Other superficial bite of hip, unspecified hip, subsequent encounter"
S70.279S,"Other superficial bite of hip, unspecified hip, sequela"
S70.311A,"Abrasion, right thigh, initial encounter"
S70.311D,"Abrasion, right thigh, subsequent encounter"
S70.311S,"Abrasion, right thigh, sequela"
S70.312A,"Abrasion, left thigh, initial encounter"
S70.312D,"Abrasion, left thigh, subsequent encounter"
S70.312S,"Abrasion, left thigh, sequela"
S70.319A,"Abrasion, unspecified thigh, initial encounter"
S70.319D,"Abrasion, unspecified thigh, subsequent encounter"
S70.319S,"Abrasion, unspecified thigh, sequela"
S70.321A,"Blister (nonthermal), right thigh, initial encounter"
S70.321D,"Blister (nonthermal), right thigh, subsequent encounter"
S70.321S,"Blister (nonthermal), right thigh, sequela"
S70.322A,"Blister (nonthermal), left thigh, initial encounter"
S70.322D,"Blister (nonthermal), left thigh, subsequent encounter"
S70.322S,"Blister (nonthermal), left thigh, sequela"
S70.329A,"Blister (nonthermal), unspecified thigh, initial encounter"
S70.329D,"Blister (nonthermal), unspecified thigh, subsequent encounter"
S70.329S,"Blister (nonthermal), unspecified thigh, sequela"
S70.341A,"External constriction, right thigh, initial encounter"
S70.341D,"External constriction, right thigh, subsequent encounter"
S70.341S,"External constriction, right thigh, sequela"
S70.342A,"External constriction, left thigh, initial encounter"
S70.342D,"External constriction, left thigh, subsequent encounter"
S70.342S,"External constriction, left thigh, sequela"
S70.349A,"External constriction, unspecified thigh, initial encounter"
S70.349D,"External constriction, unspecified thigh, subsequent encounter"
S70.349S,"External constriction, unspecified thigh, sequela"
S70.351A,"Superficial foreign body, right thigh, initial encounter"
S70.351D,"Superficial foreign body, right thigh, subsequent encounter"
S70.351S,"Superficial foreign body, right thigh, sequela"
S70.352A,"Superficial foreign body, left thigh, initial encounter"
S70.352D,"Superficial foreign body, left thigh, subsequent encounter"
S70.352S,"Superficial foreign body, left thigh, sequela"
S70.359A,"Superficial foreign body, unspecified thigh, initial encounter"
S70.359D,"Superficial foreign body, unspecified thigh, subsequent encounter"
S70.359S,"Superficial foreign body, unspecified thigh, sequela"
S70.361A,"Insect bite (nonvenomous), right thigh, initial encounter"
S70.361D,"Insect bite (nonvenomous), right thigh, subsequent encounter"
S70.361S,"Insect bite (nonvenomous), right thigh, sequela"
S70.362A,"Insect bite (nonvenomous), left thigh, initial encounter"
S70.362D,"Insect bite (nonvenomous), left thigh, subsequent encounter"
S70.362S,"Insect bite (nonvenomous), left thigh, sequela"
S70.369A,"Insect bite (nonvenomous), unspecified thigh, initial encounter"
S70.369D,"Insect bite (nonvenomous), unspecified thigh, subsequent encounter"
S70.369S,"Insect bite (nonvenomous), unspecified thigh, sequela"
S70.371A,"Other superficial bite of right thigh, initial encounter"
S70.371D,"Other superficial bite of right thigh, subsequent encounter"
S70.371S,"Other superficial bite of right thigh, sequela"
S70.372A,"Other superficial bite of left thigh, initial encounter"
S70.372D,"Other superficial bite of left thigh, subsequent encounter"
S70.372S,"Other superficial bite of left thigh, sequela"
S70.379A,"Other superficial bite of unspecified thigh, initial encounter"
S70.379D,"Other superficial bite of unspecified thigh, subsequent encounter"
S70.379S,"Other superficial bite of unspecified thigh, sequela"
S70.911A,"Unspecified superficial injury of right hip, initial encounter"
S70.911D,"Unspecified superficial injury of right hip, subsequent encounter"
S70.911S,"Unspecified superficial injury of right hip, sequela"
S70.912A,"Unspecified superficial injury of left hip, initial encounter"
S70.912D,"Unspecified superficial injury of left hip, subsequent encounter"
S70.912S,"Unspecified superficial injury of left hip, sequela"
S70.919A,"Unspecified superficial injury of unspecified hip, initial encounter"
S70.919D,"Unspecified superficial injury of unspecified hip, subsequent encounter"
S70.919S,"Unspecified superficial injury of unspecified hip, sequela"
S70.921A,"Unspecified superficial injury of right thigh, initial encounter"
S70.921D,"Unspecified superficial injury of right thigh, subsequent encounter"
S70.921S,"Unspecified superficial injury of right thigh, sequela"
S70.922A,"Unspecified superficial injury of left thigh, initial encounter"
S70.922D,"Unspecified superficial injury of left thigh, subsequent encounter"
S70.922S,"Unspecified superficial injury of left thigh, sequela"
S70.929A,"Unspecified superficial injury of unspecified thigh, initial encounter"
S70.929D,"Unspecified superficial injury of unspecified thigh, subsequent encounter"
S70.929S,"Unspecified superficial injury of unspecified thigh, sequela"
S71.001A,"Unspecified open wound, right hip, initial encounter"
S71.001D,"Unspecified open wound, right hip, subsequent encounter"
S71.001S,"Unspecified open wound, right hip, sequela"
S71.002A,"Unspecified open wound, left hip, initial encounter"
S71.002D,"Unspecified open wound, left hip, subsequent encounter"
S71.002S,"Unspecified open wound, left hip, sequela"
S71.009A,"Unspecified open wound, unspecified hip, initial encounter"
S71.009D,"Unspecified open wound, unspecified hip, subsequent encounter"
S71.009S,"Unspecified open wound, unspecified hip, sequela"
S71.011A,"Laceration without foreign body, right hip, initial encounter"
S71.011D,"Laceration without foreign body, right hip, subsequent encounter"
S71.011S,"Laceration without foreign body, right hip, sequela"
S71.012A,"Laceration without foreign body, left hip, initial encounter"
S71.012D,"Laceration without foreign body, left hip, subsequent encounter"
S71.012S,"Laceration without foreign body, left hip, sequela"
S71.019A,"Laceration without foreign body, unspecified hip, initial encounter"
S71.019D,"Laceration without foreign body, unspecified hip, subsequent encounter"
S71.019S,"Laceration without foreign body, unspecified hip, sequela"
S71.021A,"Laceration with foreign body, right hip, initial encounter"
S71.021D,"Laceration with foreign body, right hip, subsequent encounter"
S71.021S,"Laceration with foreign body, right hip, sequela"
S71.022A,"Laceration with foreign body, left hip, initial encounter"
S71.022D,"Laceration with foreign body, left hip, subsequent encounter"
S71.022S,"Laceration with foreign body, left hip, sequela"
S71.029A,"Laceration with foreign body, unspecified hip, initial encounter"
S71.029D,"Laceration with foreign body, unspecified hip, subsequent encounter"
S71.029S,"Laceration with foreign body, unspecified hip, sequela"
S71.031A,"Puncture wound without foreign body, right hip, initial encounter"
S71.031D,"Puncture wound without foreign body, right hip, subsequent encounter"
S71.031S,"Puncture wound without foreign body, right hip, sequela"
S71.032A,"Puncture wound without foreign body, left hip, initial encounter"
S71.032D,"Puncture wound without foreign body, left hip, subsequent encounter"
S71.032S,"Puncture wound without foreign body, left hip, sequela"
S71.039A,"Puncture wound without foreign body, unspecified hip, initial encounter"
S71.039D,"Puncture wound without foreign body, unspecified hip, subsequent encounter"
S71.039S,"Puncture wound without foreign body, unspecified hip, sequela"
S71.041A,"Puncture wound with foreign body, right hip, initial encounter"
S71.041D,"Puncture wound with foreign body, right hip, subsequent encounter"
S71.041S,"Puncture wound with foreign body, right hip, sequela"
S71.042A,"Puncture wound with foreign body, left hip, initial encounter"
S71.042D,"Puncture wound with foreign body, left hip, subsequent encounter"
S71.042S,"Puncture wound with foreign body, left hip, sequela"
S71.049A,"Puncture wound with foreign body, unspecified hip, initial encounter"
S71.049D,"Puncture wound with foreign body, unspecified hip, subsequent encounter"
S71.049S,"Puncture wound with foreign body, unspecified hip, sequela"
S71.051A,"Open bite, right hip, initial encounter"
S71.051D,"Open bite, right hip, subsequent encounter"
S71.051S,"Open bite, right hip, sequela"
S71.052A,"Open bite, left hip, initial encounter"
S71.052D,"Open bite, left hip, subsequent encounter"
S71.052S,"Open bite, left hip, sequela"
S71.059A,"Open bite, unspecified hip, initial encounter"
S71.059D,"Open bite, unspecified hip, subsequent encounter"
S71.059S,"Open bite, unspecified hip, sequela"
S71.101A,"Unspecified open wound, right thigh, initial encounter"
S71.101D,"Unspecified open wound, right thigh, subsequent encounter"
S71.101S,"Unspecified open wound, right thigh, sequela"
S71.102A,"Unspecified open wound, left thigh, initial encounter"
S71.102D,"Unspecified open wound, left thigh, subsequent encounter"
S71.102S,"Unspecified open wound, left thigh, sequela"
S71.109A,"Unspecified open wound, unspecified thigh, initial encounter"
S71.109D,"Unspecified open wound, unspecified thigh, subsequent encounter"
S71.109S,"Unspecified open wound, unspecified thigh, sequela"
S71.111A,"Laceration without foreign body, right thigh, initial encounter"
S71.111D,"Laceration without foreign body, right thigh, subsequent encounter"
S71.111S,"Laceration without foreign body, right thigh, sequela"
S71.112A,"Laceration without foreign body, left thigh, initial encounter"
S71.112D,"Laceration without foreign body, left thigh, subsequent encounter"
S71.112S,"Laceration without foreign body, left thigh, sequela"
S71.119A,"Laceration without foreign body, unspecified thigh, initial encounter"
S71.119D,"Laceration without foreign body, unspecified thigh, subsequent encounter"
S71.119S,"Laceration without foreign body, unspecified thigh, sequela"
S71.121A,"Laceration with foreign body, right thigh, initial encounter"
S71.121D,"Laceration with foreign body, right thigh, subsequent encounter"
S71.121S,"Laceration with foreign body, right thigh, sequela"
S71.122A,"Laceration with foreign body, left thigh, initial encounter"
S71.122D,"Laceration with foreign body, left thigh, subsequent encounter"
S71.122S,"Laceration with foreign body, left thigh, sequela"
S71.129A,"Laceration with foreign body, unspecified thigh, initial encounter"
S71.129D,"Laceration with foreign body, unspecified thigh, subsequent encounter"
S71.129S,"Laceration with foreign body, unspecified thigh, sequela"
S71.131A,"Puncture wound without foreign body, right thigh, initial encounter"
S71.131D,"Puncture wound without foreign body, right thigh, subsequent encounter"
S71.131S,"Puncture wound without foreign body, right thigh, sequela"
S71.132A,"Puncture wound without foreign body, left thigh, initial encounter"
S71.132D,"Puncture wound without foreign body, left thigh, subsequent encounter"
S71.132S,"Puncture wound without foreign body, left thigh, sequela"
S71.139A,"Puncture wound without foreign body, unspecified thigh, initial encounter"
S71.139D,"Puncture wound without foreign body, unspecified thigh, subsequent encounter"
S71.139S,"Puncture wound without foreign body, unspecified thigh, sequela"
S71.141A,"Puncture wound with foreign body, right thigh, initial encounter"
S71.141D,"Puncture wound with foreign body, right thigh, subsequent encounter"
S71.141S,"Puncture wound with foreign body, right thigh, sequela"
S71.142A,"Puncture wound with foreign body, left thigh, initial encounter"
S71.142D,"Puncture wound with foreign body, left thigh, subsequent encounter"
S71.142S,"Puncture wound with foreign body, left thigh, sequela"
S71.149A,"Puncture wound with foreign body, unspecified thigh, initial encounter"
S71.149D,"Puncture wound with foreign body, unspecified thigh, subsequent encounter"
S71.149S,"Puncture wound with foreign body, unspecified thigh, sequela"
S71.151A,"Open bite, right thigh, initial encounter"
S71.151D,"Open bite, right thigh, subsequent encounter"
S71.151S,"Open bite, right thigh, sequela"
S71.152A,"Open bite, left thigh, initial encounter"
S71.152D,"Open bite, left thigh, subsequent encounter"
S71.152S,"Open bite, left thigh, sequela"
S71.159A,"Open bite, unspecified thigh, initial encounter"
S71.159D,"Open bite, unspecified thigh, subsequent encounter"
S71.159S,"Open bite, unspecified thigh, sequela"
S72.001A,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
S72.001B,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type I or II"
S72.001C,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.001D,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing"
S72.001E,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72.001F,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.001G,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing"
S72.001H,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.001J,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.001K,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with nonunion"
S72.001M,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72.001N,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.001P,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion"
S72.001Q,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
S72.001R,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.001S,"Fracture of unspecified part of neck of right femur, sequela"
S72.002A,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture"
S72.002B,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type I or II"
S72.002C,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.002D,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with routine healing"
S72.002E,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72.002F,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.002G,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with delayed healing"
S72.002H,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.002J,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.002K,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with nonunion"
S72.002M,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
S72.002N,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.002P,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with malunion"
S72.002Q,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with malunion"
S72.002R,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.002S,"Fracture of unspecified part of neck of left femur, sequela"
S72.009A,"Fracture of unspecified part of neck of unspecified femur, initial encounter for closed fracture"
S72.009B,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type I or II"
S72.009C,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.009D,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
S72.009E,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
S72.009F,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.009G,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with delayed healing"
S72.009H,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.009J,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.009K,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with nonunion"
S72.009M,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
S72.009N,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.009P,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with malunion"
S72.009Q,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
S72.009R,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.009S,"Fracture of unspecified part of neck of unspecified femur, sequela"
S72.011A,"Unspecified intracapsular fracture of right femur, initial encounter for closed fracture"
S72.011B,"Unspecified intracapsular fracture of right femur, initial encounter for open fracture type I or II"
S72.011C,"Unspecified intracapsular fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.011D,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with routine healing"
S72.011E,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72.011F,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.011G,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with delayed healing"
S72.011H,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.011J,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.011K,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with nonunion"
S72.011M,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72.011N,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.011P,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with malunion"
S72.011Q,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
S72.011R,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.011S,"Unspecified intracapsular fracture of right femur, sequela"
S72.012A,"Unspecified intracapsular fracture of left femur, initial encounter for closed fracture"
S72.012B,"Unspecified intracapsular fracture of left femur, initial encounter for open fracture type I or II"
S72.012C,"Unspecified intracapsular fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.012D,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with routine healing"
S72.012E,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72.012F,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.012G,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with delayed healing"
S72.012H,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.012J,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.012K,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with nonunion"
S72.012M,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
S72.012N,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.012P,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with malunion"
S72.012Q,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
S72.012R,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.012S,"Unspecified intracapsular fracture of left femur, sequela"
S72.019A,"Unspecified intracapsular fracture of unspecified femur, initial encounter for closed fracture"
S72.019B,"Unspecified intracapsular fracture of unspecified femur, initial encounter for open fracture type I or II"
S72.019C,"Unspecified intracapsular fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.019D,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
S72.019E,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
S72.019F,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.019G,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing"
S72.019H,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.019J,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.019K,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
S72.019M,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
S72.019N,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.019P,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
S72.019Q,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
S72.019R,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.019S,"Unspecified intracapsular fracture of unspecified femur, sequela"
S72.021A,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for closed fracture"
S72.021B,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type I or II"
S72.021C,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.021D,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with routine healing"
S72.021E,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72.021F,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.021G,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with delayed healing"
S72.021H,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.021J,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.021K,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with nonunion"
S72.021M,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72.021N,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.021P,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with malunion"
S72.021Q,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with malunion"
S72.021R,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.021S,"Displaced fracture of epiphysis (separation) (upper) of right femur, sequela"
S72.022A,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for closed fracture"
S72.022B,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type I or II"
S72.022C,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.022D,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with routine healing"
S72.022E,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72.022F,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.022G,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with delayed healing"
S72.022H,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.022J,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.022K,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with nonunion"
S72.022M,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with nonunion"
S72.022N,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.022P,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with malunion"
S72.022Q,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with malunion"
S72.022R,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.022S,"Displaced fracture of epiphysis (separation) (upper) of left femur, sequela"
S72.023A,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for closed fracture"
S72.023B,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type I or II"
S72.023C,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.023D,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with routine healing"
S72.023E,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
